,DMB006,MB002,MB511H,RCMB28,RCMB38,RCMB40,RCMB45,RCMB51
ENSG00000284652.1|ENSG00000284652,2,13,39,29,10,42,17,24
ENSG00000284693.2|LINC02606,47,48,148,138,7,110,30,64
ENSG00000252956.1|RNA5SP40,0,0,0,0,1,0,0,0
ENSG00000074800.16|ENO1,17411,119182,117658,12353,6196,74833,7484,10302
ENSG00000274258.1|MIR6728,1,8,3,3,3,4,2,2
ENSG00000230679.1|ENO1-AS1,25,25,12,8,0,10,0,15
ENSG00000235263.1|ENSG00000235263,0,0,0,0,0,0,0,0
ENSG00000188807.13|TMEM201,1752,3700,2170,252,329,1619,618,936
ENSG00000171608.18|PIK3CD,624,16,29,218,540,29,391,292
ENSG00000233268.3|ENSG00000233268,0,0,0,0,0,0,0,0
ENSG00000231789.4|PIK3CD-AS2,0,0,14,20,0,0,0,34
ENSG00000271264.1|MZT1P1,0,0,0,0,0,0,0,0
ENSG00000280113.2|ENSG00000280113,1,3,0,6,2,3,1,5
ENSG00000285701.1|ENSG00000285701,0,0,0,0,4,0,0,0
ENSG00000171612.7|SLC25A33,327,2047,2249,296,164,951,187,738
ENSG00000231181.1|ENSG00000231181,46,484,681,133,29,223,34,83
ENSG00000179840.5|PIK3CD-AS1,0,0,0,0,2,0,3,0
ENSG00000171603.18|CLSTN1,6275,3636,1777,8737,3034,1623,4595,4335
ENSG00000178585.15|CTNNBIP1,1245,1538,1628,1768,1289,1647,894,1311
ENSG00000223989.1|ENSG00000223989,0,0,0,0,0,0,0,0
ENSG00000283611.2|TMEM274P,0,0,0,0,0,0,0,0
ENSG00000265521.1|MIR5697,0,2,1,0,0,0,1,0
ENSG00000241326.1|ENSG00000241326,0,0,0,0,0,0,0,0
ENSG00000162444.12|RBP7,14,30,287,6,2,0,7,14
ENSG00000130939.20|UBE4B,3888,4004,6455,3669,2242,3793,2017,2270
ENSG00000162441.12|LZIC,1677,2149,2603,2278,1957,2126,1650,1467
ENSG00000228150.1|ENSG00000228150,7,10,7,5,2,4,0,6
ENSG00000173614.14|NMNAT1,460,275,363,308,140,131,134,76
ENSG00000202415.1|RN7SKP269,14,10,21,11,12,4,10,15
ENSG00000224340.1|ENSG00000224340,0,0,0,2,2,0,2,0
ENSG00000233623.2|PGAM1P11,17,18,2,19,11,7,0,3
ENSG00000201746.1|RNU6-828P,6,1,2,3,2,2,2,2
ENSG00000251503.8|CENPS-CORT,50,75,46,0,2,60,9,0
ENSG00000175279.22|CENPS,299,758,671,148,160,300,144,266
ENSG00000160049.12|DFFA,2446,3618,5976,1988,476,2986,696,1888
ENSG00000271989.1|ENSG00000271989,11,3,4,10,0,0,3,1
ENSG00000241563.4|CORT,32,38,22,31,30,3,13,25
ENSG00000203469.2|ENSG00000203469,1,1,1,1,1,0,0,1
ENSG00000142655.13|PEX14,638,796,1092,346,286,674,243,334
ENSG00000287727.1|ENSG00000287727,0,0,0,0,5,0,0,3
ENSG00000243267.3|RN7SL614P,1,4,0,4,9,2,1,1
ENSG00000130940.15|CASZ1,0,2558,1493,383,80,1280,1214,777
ENSG00000272078.1|ENSG00000272078,0,7,0,0,24,0,23,20
ENSG00000225158.2|HSPE1P24,0,0,0,0,1,0,6,8
ENSG00000054523.20|KIF1B,66263,11639,24373,38033,35168,20497,19103,12458
ENSG00000264881.1|ENSG00000264881,7,1,4,6,1,0,1,0
ENSG00000284735.1|ENSG00000284735,4,2,3,2,2,6,5,3
ENSG00000284642.1|ENSG00000284642,568,63,132,233,104,202,54,99
ENSG00000142657.21|PGD,4314,11745,9139,2942,3446,5787,3084,4025
ENSG00000199562.1|RNU6-37P,66,45,46,53,56,32,47,81
ENSG00000264501.2|RN7SL731P,6,1,5,1,2,3,1,1
ENSG00000116649.10|SRM,748,3370,3406,678,384,1982,347,836
ENSG00000175262.15|C1orf127,0,0,0,5,0,0,0,5
ENSG00000215785.2|CFL1P6,0,0,0,6,0,0,0,7
ENSG00000120948.19|TARDBP,5609,8227,8594,4639,4031,6122,3493,4187
ENSG00000009724.18|MASP2,16,44,16,0,7,3,14,7
ENSG00000284646.1|ENSG00000284646,0,0,0,0,0,0,0,0
ENSG00000120942.14|UBIAD1,827,1766,1982,651,476,946,387,674
ENSG00000238199.1|UBE2V2P3,0,0,0,0,0,0,4,4
ENSG00000224338.2|MTCYBP45,0,0,0,0,0,0,0,0
