,BT084,DMB006,DMB012,MB002,MB511H,MED1712FH,RCMB28,RCMB32,RCMB38,RCMB40,RCMB45,RCMB51
ENSG00000227879.2,46,194,74,177,109,279,0,129,0,197,0,177
ENSG00000272512.1,17,4,4,0,6,0,32,29,44,10,44,3
ENSG00000248203.1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000254312.1,1,0,0,0,0,0,0,1,0,0,0,0
ENSG00000117139.16,9053,9909,8504,5289,6632,14176,10509,8453,7744,6584,12219,12062
ENSG00000001460.17,530,750,25,256,437,824,391,145,471,326,328,241
ENSG00000227583.1,54,70,66,28,19,77,93,39,55,22,64,31
ENSG00000268434.5,0,1,0,0,12,0,0,1,0,0,1,3
ENSG00000244025.4,2,0,0,0,0,0,0,8,4,0,3,6
ENSG00000108312.14,7397,14452,4297,15939,16204,24152,10116,6968,9160,16254,6882,10971
ENSG00000265806.1,10,26,8,34,21,14,11,6,17,20,10,11
ENSG00000221190.1,1,0,1,0,0,2,1,1,2,0,0,1
ENSG00000080031.9,6,0,22,0,11,0,12,21,2,6,9,682
ENSG00000284611.1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000218476.2,3,0,0,0,0,0,0,7,4,0,0,6
ENSG00000168300.13,2600,2591,1218,1538,5342,2702,1763,2369,1701,1682,1854,3628
ENSG00000196772.4,3,3,0,0,0,0,0,8,9,0,3,25
ENSG00000279419.1,49,0,24,22,7,6,6,89,54,3,50,109
ENSG00000255531.1,4,0,0,0,1,0,0,0,0,0,0,2
ENSG00000250420.8,28,15,816,224,11,16,11,61,22,20,10,41
ENSG00000145451.12,60,64,7,215,0,0,0,61,36,11,442,32
ENSG00000268947.1,0,0,0,0,0,0,0,8,0,0,5,2
ENSG00000231982.1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000173702.7,20,0,0,0,0,0,0,41,0,0,9,14
ENSG00000248627.1,5,0,0,0,0,0,0,1,0,0,4,5
ENSG00000258509.1,8,3,7,5,2,4,1,2,8,4,3,2
ENSG00000227097.5,1315,1062,1319,9431,18247,3874,2397,707,311,4179,713,1601
ENSG00000236764.4,3,2,3,2,2,5,3,4,2,2,7,0
ENSG00000106125.14,801,794,89,327,490,1389,221,108,1012,734,76,994
ENSG00000076984.17,578,730,646,985,1212,946,492,350,623,646,526,650
ENSG00000226646.1,4,2,4,3,4,2,0,7,3,3,4,4
ENSG00000234595.1,6,51,7,150,91,0,0,46,285,16,175,139
ENSG00000271824.1,3,488,0,41,76,96,61,11,28,96,31,13
ENSG00000133624.13,1015,1888,1193,991,1090,2596,1492,1005,1228,1241,869,1722
ENSG00000260347.1,8,3,0,5,5,7,2,8,3,4,13,3
ENSG00000233508.2,9,19,0,0,0,0,0,50,13,9,17,25
ENSG00000243664.1,0,0,0,0,0,0,0,0,0,0,0,4
ENSG00000235976.2,2,0,3,0,0,0,0,10,4,0,5,2
ENSG00000267717.1,8,14,11,11,5,5,6,37,11,0,0,20
ENSG00000232002.1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000212724.3,0,0,0,0,0,0,0,1,0,0,0,1
ENSG00000221539.1,26,33,5,66,66,74,11,14,2,26,10,2
ENSG00000231305.3,44,138,95,30,42,33,204,83,20,12,40,56
